,node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband,scenario
151,IE4 0,IE4 0 CCGT,fossil_gas,4265.0,0.0,54.55488273335465,1.0,const,0.0,,,,,0.0,,,
152,IE4 0,IE4 0 coal,fossil_other,2380.0,0.0,67.66461572871573,1.0,const,0.0,,,,,0.0,,,
153,IE4 0,IE4 0 ror,ror,216.0,0.0,0.0,0.9,gen_ror_IE_1,0.0,,,,,0.0,,,
154,IE4 0,IE4 0 solar-hsat,solar,96.188,0.0,0.01,1.0,gen_sol_IE_2,0.0,,,,,0.0,,,
155,IE4 0,IE4 0 offwind-dc,wind_off,25.2,0.0,0.015,1.0,gen_wind_IE_2,0.0,,,,,0.0,,,
156,IE4 0,IE4 0 onwind,wind_on,1918.73,0.0,0.015,1.0,gen_wind_IE_4,0.0,,,,,0.0,,,
157,IT0 0,IT0 0 PHS,PHS,6753.772580197837,0.0,0.0,0.0,const,377958.9089109008,1.0,const,const,0.67,6753.772580197837,0.8660254037844386,1.5,
158,IT0 0,IT0 0 biomass,RES_other,2333.9333333333334,0.0,7.914102564102565,1.0,const,0.0,,,,,0.0,,,
159,IT0 0,IT0 0 CCGT,fossil_gas,41127.46748401334,0.0,54.097622040681365,1.0,const,0.0,,,,,0.0,,,
160,IT0 0,IT0 0 coal,fossil_other,5624.544602128737,0.0,32.21332121212121,1.0,const,0.0,,,,,0.0,,,
161,IT0 0,IT0 0 hydro,hydro,3763.2138838562014,0.0,0.0,0.9,inflow_IT_1,7087200.7443654025,1.0,const,const,0.67,0.0,0.0,0.0,
162,IT0 0,IT0 0 ror,ror,10510.643533539816,0.0,0.0,0.9,gen_ror_IT_1,0.0,,,,,0.0,,,
163,IT0 0,IT0 0 solar-hsat,solar,4486.154906844725,0.0,0.01,1.0,gen_sol_IT_2,0.0,,,,,0.0,,,
